split,axis,key,count
all,family,ghz,9
all,family,graphstate,8
all,family,qft,8
all,family,vqe,1
all,size_bin,small,2
all,size_bin,large,18
all,size_bin,medium,6
all,total,tasks,26
train,family,ghz,6
train,family,graphstate,5
train,family,qft,5
train,family,vqe,1
train,size_bin,small,2
train,size_bin,large,12
train,size_bin,medium,3
train,total,tasks,17
val,family,ghz,1
val,family,graphstate,1
val,family,qft,1
val,size_bin,large,3
val,total,tasks,3
test,family,ghz,2
test,family,graphstate,2
test,family,qft,2
test,size_bin,large,3
test,size_bin,medium,3
test,total,tasks,6
